"","prolific_pid","modulo","id","session_id","responses","tp","tn","fp","fn","cumulative_pay","condition","incentive","trial","duration","positives","negatives","p_trial_id","block_id","block","trial_pay","selected_positives","alpha","payoff_trial","payoff_lower","payoff_upper","expected_over_optimal"
"1571","5aeacc45d9f2be00019341ae",64,1975,"5e3f66afd960941c8cfc0d5e","1,3,6,5,7",5,3,0,2,-920,"ci","5",26,9.701,7,3,43,13,2,120,5,19,120,-1280,200,0.945307224848076
"1572","5defe76ec33cea000b6cb8e1",58,1976,"5e3f6466f09a9f1c6057268b","5",1,6,0,3,-4400,"ci","1",8,5.355,4,6,59,29,3,80,1,99,80,-11960,200,0.990050160348656
"1573","5d1e47055538e6001a842e3b",77,1977,"5e3f645423323f1c3c7463b4","3,7,4,10,6",4,4,1,1,-40120,"ci","1",23,14.959,5,5,46,16,3,-1840,5,99,-1840,-10000,200,0.799921576316047
"1574","5be36be211870100014e3a10",43,1978,"5e3f696809a1141d0e3e447b","10,8,3",3,3,0,4,-440,"ci","5",29,15.032,7,3,5,5,1,40,3,19,40,-1280,200,0.891289669142471
"1575","5dd33261fce6063503a61fd2",9,1979,"5e3f64584425131c4df331b7","9,4",2,6,0,2,-120,"ci","5",30,12.304,4,6,84,24,4,120,2,19,120,-2360,200,0.96837172979305
"1576","5de301515253b03390043d12",80,1980,"5e3f6473efb86e1c939f60b9","null",0,2,0,8,-7240,"ci","10",16,6.525,8,2,55,25,3,-120,0,9,-120,-520,200,0.554785020804438
"1577","5defe76ec33cea000b6cb8e1",58,1981,"5e3f6466f09a9f1c6057268b","null",0,7,0,3,-4320,"ci","1",4,3.194,3,7,60,30,3,80,0,99,80,-13920,200,0.99143120175625
"1578","5dbee94de0a6e839b5a23898",84,1982,"5e3f647819a5ea1c3bf2e5fa","10",1,2,0,7,3840,"ci","1",16,7.546,8,2,72,12,3,-80,1,99,-80,-4120,200,0.934968757232122
"1579","5c44b3fe1bbffd0001014286",35,1984,"5e3f647ec10d051c176daec4","8,2,9",2,5,1,2,-12840,"ci","1",1,11.159,4,6,68,8,3,-1880,3,99,-1880,-11960,200,0.828879204012828
"1580","58d9a79c33fef3000118abdf",50,1985,"5e3f67178dd3cf1ca62c14a0","8",1,6,0,3,-520,"ci","1",3,7.86,4,6,53,23,3,80,1,99,80,-11960,200,0.990050160348656
"1581","5dc1d03762ec50143144ac3f",96,1986,"5e3f646781d99c1c0b45cf27","5,2,8,3",4,6,0,0,-5600,"ci","10",3,13.022,4,6,31,1,2,-5600,4,9,200,-1160,200,0.999265246142542
"1582","5c8af558d551550019d44308",45,1987,"5e3f64fdaa21c61c60bdf416","6,3,9",1,6,2,1,-11400,"ci","1",18,27.706,2,8,19,19,2,-3840,3,99,-3840,-15880,200,0.748709657359617
"1583","58d9a79c33fef3000118abdf",50,1988,"5e3f67178dd3cf1ca62c14a0","null",0,4,0,6,-560,"ci","1",22,4.419,6,4,54,24,3,-40,0,99,-40,-8040,200,0.970755976216479
"1584","5aeacc45d9f2be00019341ae",64,1989,"5e3f66afd960941c8cfc0d5e","6,10,7",2,3,1,4,-1280,"ci","5",28,11.186,6,4,44,14,2,-360,3,19,-360,-1640,200,0.695274307441608
"1585","5def263d8def535cf50388ea",28,1990,"5e3f6458f2160b1c566554ef","7,3",2,2,0,6,-320,"ci","10",16,32.774,8,2,5,5,1,-40,2,9,-40,-520,200,0.665742024965326
"1586","5dd33261fce6063503a61fd2",9,1991,"5e3f64584425131c4df331b7","5",1,6,0,3,-40,"ci","5",8,11.21,4,6,85,25,4,80,1,19,80,-2360,200,0.95275283092542
"1587","5be36be211870100014e3a10",43,1992,"5e3f696809a1141d0e3e447b","6,10",2,4,0,4,-400,"ci","5",10,14.695,6,4,6,6,1,40,2,19,40,-1640,200,0.91254752851711
