"prolific_pid","condition","trial","p_trial_id","alpha","block_id","block","beta","f1"
"5c44b3fe1bbffd0001014286","ci",1,8,"0.1",8,1,1,0.571428571428571
"5dbee94de0a6e839b5a23898","ci",3,10,"0.1",10,1,1,1
"5cb5d78329f6ff00167f5e24","ci",21,61,"0.1",1,3,1,1
"5d1e47055538e6001a842e3b","ci",25,12,"0.1",12,1,1,0.714285714285714
"5c44b3fe1bbffd0001014286","ci",5,9,"0.1",9,1,1,0.615384615384615
"5cb5d78329f6ff00167f5e24","ci",11,62,"0.1",2,3,1,0.571428571428571
"5cb5d78329f6ff00167f5e24","ci",1,63,"0.1",3,3,1,0.4
"5cb5d78329f6ff00167f5e24","ci",22,64,"0.1",4,3,1,0
"5a5e8efcac562400015424ba","ci",28,31,"0.1",1,2,1,0.25
"5d1e47055538e6001a842e3b","ci",9,13,"0.1",13,1,1,1
"5c44b3fe1bbffd0001014286","ci",9,10,"0.1",10,1,1,1
"5dbee94de0a6e839b5a23898","ci",25,11,"0.1",11,1,1,0
"5cb5d78329f6ff00167f5e24","ci",12,65,"0.1",5,3,1,0.285714285714286
"5a5e8efcac562400015424ba","ci",25,32,"0.1",2,2,1,0.285714285714286
"5cb5d78329f6ff00167f5e24","ci",2,66,"0.1",6,3,1,0.285714285714286
"5cb5d78329f6ff00167f5e24","ci",23,67,"0.1",7,3,1,0.333333333333333
"5d1e47055538e6001a842e3b","ci",24,14,"0.1",14,1,1,0.888888888888889
"5c44b3fe1bbffd0001014286","ci",13,11,"0.1",11,1,1,0.941176470588235
"5dbee94de0a6e839b5a23898","ci",16,12,"0.1",12,1,1,0
"5cb5d78329f6ff00167f5e24","ci",13,68,"0.1",8,3,1,0.2
"5a5e8efcac562400015424ba","ci",22,33,"0.1",3,2,1,0.6
"5cb5d78329f6ff00167f5e24","ci",3,69,"0.1",9,3,1,0.666666666666667
"5c44b3fe1bbffd0001014286","ci",17,12,"0.1",12,1,1,0.8
"5d1e47055538e6001a842e3b","ci",8,15,"0.1",15,1,1,0.888888888888889
"5cb5d78329f6ff00167f5e24","ci",24,70,"0.1",10,3,1,0.666666666666667
"5dbee94de0a6e839b5a23898","ci",7,13,"0.1",13,1,1,0
"5a5e8efcac562400015424ba","ci",19,34,"0.1",4,2,1,0.5
