"","trial","region_idx","nregions","p_value","alpha","rank","critical_value","bh_profit","is_profit","tp","tn","fp","fn"
"246",13,8,8,0.74714,0.05,6,0.0375,FALSE,FALSE,0,1,0,0
"247",13,1,8,0.75264,0.05,7,0.04375,FALSE,TRUE,0,0,0,1
"248",13,7,8,0.89295,0.05,8,0.05,FALSE,TRUE,0,0,0,1
"249",13,2,12,0.00136,0.05,1,0.00416666666666667,TRUE,TRUE,1,0,0,0
"250",13,12,12,0.00688,0.05,2,0.00833333333333333,TRUE,TRUE,1,0,0,0
"251",13,1,12,0.01395,0.05,3,0.0125,FALSE,FALSE,0,1,0,0
"252",13,3,12,0.02697,0.05,4,0.0166666666666667,FALSE,TRUE,0,0,0,1
"253",13,11,12,0.07814,0.05,5,0.0208333333333333,FALSE,TRUE,0,0,0,1
"254",13,7,12,0.17446,0.05,6,0.025,FALSE,TRUE,0,0,0,1
"255",13,10,12,0.32873,0.05,7,0.0291666666666667,FALSE,FALSE,0,1,0,0
"256",13,9,12,0.46281,0.05,8,0.0333333333333333,FALSE,FALSE,0,1,0,0
"257",13,8,12,0.47659,0.05,9,0.0375,FALSE,TRUE,0,0,0,1
"258",13,6,12,0.69824,0.05,10,0.0416666666666667,FALSE,FALSE,0,1,0,0
"259",13,4,12,0.84113,0.05,11,0.0458333333333333,FALSE,FALSE,0,1,0,0
"260",13,5,12,0.97544,0.05,12,0.05,FALSE,FALSE,0,1,0,0
"261",14,4,8,0.00017,0.05,1,0.00625,TRUE,TRUE,1,0,0,0
"262",14,8,8,0.00147,0.05,2,0.0125,TRUE,TRUE,1,0,0,0
"263",14,3,8,0.0038,0.05,3,0.01875,TRUE,TRUE,1,0,0,0
"264",14,2,8,0.0164,0.05,4,0.025,TRUE,FALSE,0,0,1,0
"265",14,6,8,0.29233,0.05,5,0.03125,FALSE,FALSE,0,1,0,0
"266",14,1,8,0.43713,0.05,6,0.0375,FALSE,TRUE,0,0,0,1
"267",14,5,8,0.83978,0.05,7,0.04375,FALSE,FALSE,0,1,0,0
"268",14,7,8,0.89421,0.05,8,0.05,FALSE,FALSE,0,1,0,0
"269",14,4,12,0.00138,0.05,1,0.00416666666666667,TRUE,TRUE,1,0,0,0
"270",14,12,12,0.03924,0.05,2,0.00833333333333333,FALSE,TRUE,0,0,0,1
"271",14,3,12,0.08842,0.05,3,0.0125,FALSE,FALSE,0,1,0,0
"272",14,2,12,0.11205,0.05,4,0.0166666666666667,FALSE,TRUE,0,0,0,1
