"id","prolific_pid","session_id","responses","tp","tn","fp","fn","cumulative_pay","condition","incentive","trial","duration","flags"
25623,"fbcde0e8","5ebaa9fdb46f9c000a082560","3,7,11,9,2,12",5,5,-1,-1,-14320,"raw-data",5,13,16.518,""
25624,"94d50f23","5ebaaa09b5c4fc0009be7b31","1,5,2,4,6",4,3,-1,0,-6040,"raw-data",5,28,20.199,""
25625,"ca489acb","5ebaaa11c3d7670008f75ba1","4,9",1,7,-1,-3,-9200,"raw-data",5,30,12.895,""
25626,"2ffaaad6","5ebaaa0a5bbb550008b73326","7,5,3,4,6",4,1,-1,-2,-9520,"raw-data",5,4,20.211,""
25627,"f40648ca","5ebaaa0ef16ab9000ba336d9","9",1,5,0,-6,-840,"raw-data",5,2,22.246,""
25628,"63c76646","5ebaaa14352260000a7e30cf","2,1,4,6",4,3,0,-1,-1240,"raw-data",5,15,13.847,""
25629,"ada3efba","5ebaaa107e02a00008698fab","7,11,12,6,8,10",6,4,0,-2,-80,"raw-data",5,27,14.221,""
25630,"14e40cc6","5ebaaa0e54f1b90008a40c1a","12,1,11,9,4,10",6,6,0,0,-920,"raw-data",5,9,17.957,""
25631,"d67bf99a","5ebaaa12d9ef2900098cd942","8,6",2,5,0,-5,-320,"raw-data",5,35,6.824,""
25632,"0d036d41","5ebaaa02dbaf970008308400","12",1,7,0,-4,-160,"raw-data",5,12,53.739,""
25633,"6578c321","5ebaaa134164a00009ff6901","8,6",1,2,-1,-4,-520,"raw-data",5,35,8.436,""
25634,"233c6af4","5ebaaa05af1dad000a486f2f","2,6,12,7",4,4,0,-4,-5600,"raw-data",5,15,12.655,""
25635,"1da2d7a1","5ebaaa087e02a0000a5b7a2f","3",1,3,0,-4,0,"raw-data",5,17,8.822,"Trial counts don't match 0"
25636,"6a0786b4","5ebaaa02f290a1000ca8fdea","6,5",2,5,0,-1,-3440,"raw-data",5,8,12.921,""
25637,"f2868c09","5ebaaa0e8314b40008a4e035","3",1,5,0,-2,-3000,"raw-data",5,16,8.728,""
25638,"c89dca3f","5ebaaa0ae6cdc0000a5bfe80","11,2",2,7,0,-3,-6360,"raw-data",5,8,14.626,""
25639,"7a1d01bd","5ebaaa094164a0000bdb4e99","3,2,8,5",1,1,-3,-3,-6840,"raw-data",5,11,35.29,""
25640,"ede99de8","5ebaaa0d111567000854d25a","2,8,4",3,4,0,-1,-2320,"raw-data",5,21,9.687,""
25641,"aa73781f","5ebaaa198f7992000b602653","1,5,9,8,3",4,6,-1,-1,-6600,"raw-data",5,12,13.357,""
25642,"62bca0ea","5ebaaa0e41cc8b000827c4f1","4",1,6,0,-5,-1720,"raw-data",5,14,7.429,""
25643,"270da909","5ebaaa0a3a9f9800095e6b4d","2",1,2,0,-5,-360,"raw-data",5,10,8.192,""
25644,"17bc85fd","5ebaaa1474f38100095380ac","7",1,4,0,-3,-6680,"raw-data",5,18,7.698,""
25645,"d67bf99a","5ebaaa12d9ef2900098cd942","9",1,7,0,-4,-240,"raw-data",5,24,4.944,""
25646,"f449fee6","5ebaaa141725910008e0ba7b","7,1,4,2,6",5,2,0,-1,-8640,"raw-data",5,10,10.038,""
25647,"2d334478","5ebaa9fe5f72f60009f916f8","12,10",2,7,0,-3,-3160,"raw-data",5,24,12.542,""
25648,"4333ef06","5ebaaa13044e090008d24b98","6,5,4",3,5,0,0,-3200,"raw-data",5,6,56.265,""
25649,"dae5e1f0","5ebaaa3e09b13e000a8108e2","6",1,2,0,-9,-1480,"raw-data",5,7,10.332,""
25650,"0d036d41","5ebaaa02dbaf970008308400","5",1,5,0,-6,-160,"raw-data",5,31,6.072,""
25651,"f6280ff2","5ebaaa0c1a218200089b1242","9,4,1,6",4,4,0,-4,-1160,"raw-data",5,33,29.716,""
25652,"d41d8577","5ebaaa031b9edb000a2aa097","5,9",2,8,0,-2,360,"raw-data",5,30,9.984,""
25653,"4abdbf77","5ebaa9fa1269c70008eefddd","10,8,12",3,5,0,-4,-8200,"raw-data",5,17,17.382,""
25654,"b098f8ca","5ebaaa0b34c5ff0008e686b5","7,4",1,3,-1,-3,360,"raw-data",5,1,10.606,""
25655,"5425cb59","5ebaaa08198b2c0009c84e04","7,3,6,4,5,8",5,2,-1,0,-3320,"raw-data",5,31,23.852,""
