"id","prolific_pid","session_id","responses","tp","tn","fp","fn","cumulative_pay","condition","incentive","trial","duration","flags"
13185,"5e455ad0703c9403276f7872","5e9daedec9faf40bf7e8f049","6,4,1,3",4,2,0,-2,-16320,"ci","5",7,8.946,
13186,"5e7dd515aa9da60009e412f2","5e9db0a139a7630c58872778","1,4",2,3,0,-3,3240,"ci","5",2,19.618,
13187,"5cebae5b2e4f1700012a915a","5e9daeee3fcda10b668d8552","2,4,1,6",4,2,0,-2,-4720,"ci","5",10,13.283,
13188,"5c59b060c16a6a0001c09337","5e9daee839a7630bed3fca45","12,4,11,3",4,5,0,-3,3320,"ci","5",2,20.696,
13189,"5e67a2148d2161000c4b1d57","5e9daec50fb1590bd8b6feaa","5,8",0,2,-2,-4,-25960,"ci","5",28,4.448,
13190,"5e6d59aca2a42832fc539205","5e9daedbd8d8010c94ea2e5e","null",0,5,0,-3,80,"ci","5",8,7.313,
13191,"5e073887dc85350bf4d98bb9","5e9daeb53cfc680bcf5bd92b","1",1,4,0,-3,960,"ci","5",18,5.631,
13192,"5ac5732d1667e40001d867f9","5e9db2ae2161b50c3f277221","10",1,6,0,-5,-360,"ci","5",28,16.709,
13193,"5e8b5a6ce1552d02238e37fb","5e9daee54c037e0bbf8a2bbd","6,3,10,9,7,1,11,5,2",8,1,-1,-2,-19480,"ci","5",7,21.503,
13194,"5e67a2148d2161000c4b1d57","5e9daec50fb1590bd8b6feaa","null",0,3,0,-5,-26000,"ci","5",15,1.435,
13195,"5cd6eba26834a6001746b667","5e9db2ae1bc5790c36b82aca","2,6,4,5,12,8,7,10,1,11,9",8,1,-3,0,-1360,"ci","5",15,27.322,
13196,"5daaf077a131410013cfce11","5e9daeed533d5e0b6fa5fbfb","1,6",2,3,0,-3,-2480,"ci","5",26,5.08,
13197,"5e455ad0703c9403276f7872","5e9daedec9faf40bf7e8f049","7,2",2,4,0,-2,-16240,"ci","5",18,5.143,
13198,"5e70d17c2a461402e1567b7b","5e9db1764157fb0c3cf6ca8d","5,6,2",3,3,0,-2,560,"ci","5",27,37.511,
13199,"5d9a40d81abbe700154a04a0","5e9daee71d362a0b6e169386","10,3,2",3,8,0,-1,1280,"ci","5",6,7.068,
13200,"5e67a2148d2161000c4b1d57","5e9daec50fb1590bd8b6feaa","null",0,3,0,-5,-26040,"ci","5",2,2.038,
13201,"5e7dd515aa9da60009e412f2","5e9db0a139a7630c58872778","5,1,3",2,3,-1,-2,2920,"ci","5",33,8.503,
13202,"5e67a2148d2161000c4b1d57","5e9daec50fb1590bd8b6feaa","null",0,5,0,-3,-26000,"ci","5",25,1.383,
13203,"5b06ebe96f73510001fdb40e","5e9dafed73ed8c0c84d2b877","8,6,5,4",4,4,0,0,-1960,"ci","5",9,9.578,
13204,"5e073887dc85350bf4d98bb9","5e9daeb53cfc680bcf5bd92b","2",1,5,0,-2,1040,"ci","5",19,4.784,
13205,"5daaf077a131410013cfce11","5e9daeed533d5e0b6fa5fbfb","6,2,5",3,3,0,-2,-2400,"ci","5",27,5.162,
13206,"59a959925ea0f30001281475","5e9daf0a8662720b6dcac98a","12,2,7,10,6,3,4",6,4,-1,-1,-11000,"ci","5",10,14.107,
13207,"5e7bcff00fb32c0f51fea882","5e9daed9e3075e0c31f314ef","1,6,7",2,5,-1,0,-200,"ci","5",30,18.88,
